,text,V,A,D
0,remember what she said in my last letter,3.0,3.0,3.2
1,,3.0,3.0,3.0
2,goodwill helps people get off of public assistance,3.44,3.0,3.22
3,sherry learned through our future works class that she could rise out of the mire of the welfare system and support her family,3.55,3.27,3.46
4,coming to goodwill was the first step toward my becoming totally independent,3.6,3.3,3.8
5,i am now totally off of welfare,3.0,3.0,3.1
6,goodwill prepares people for lifelong employment,3.1,3.1,3.1
7,heres another story of success from what might seem like an unlikely source goodwills controller juli,3.25,2.88,3.0
8,cornell found a number of employment options that he never dreamed existed after a worksite injury forced him out of his job at a foundry,3.25,3.0,3.25
9,dear,3.0,2.62,3.0
10,after a lifetime of trials donna not only earned her ged at goodwill she earned a job here,3.57,3.29,3.29
11,i rode a bike to goodwill in the rain and snow,2.88,3.0,3.25
12,i wanted to be there,2.7,3.3,2.9
13,i had my second chance to change my life,3.5,3.5,3.75
14,your gift to goodwill will help the many people who want to tell their own stories of success,3.63,3.25,3.37
15,your support will help them go to work,3.7,3.4,3.3
16,please use the enclosed envelope to give a generous gift to goodwill today,3.5,3.4,3.2
17,sincerely,3.14,2.86,3.14
18,william a carter chairman goodwill industries foundation,3.1,2.5,3.2
19,ps,3.0,2.43,3.0
20,your gift is a wise investment in the community,3.5,2.87,3.25
21,for every dollar donated to goodwill in 1998 we helped our graduates earn an estimated 102,3.88,3.37,3.38
22,that money was then spent in a variety of ways adding fuel to our thriving economy,3.25,3.12,3.25
23,a few months ago you received a letter from me telling the success stories of people who got jobs with goodwills help,3.4,3.0,3.1
24,in addition to that by helping them find jobs goodwill reduced the states public support tab by an estimated 4 million,3.37,3.18,3.37
25,your gift to goodwill will help us do even more this year because your gift will be used to directly support our work,3.6,2.9,3.4
26,what kind of work does goodwill do,3.0,2.55,2.82
27,goodwill finds jobs for people with mental and physical disabilities,3.29,3.0,3.0
28,after maureens job coach taught her how to do her job in a restaurant we helped maureen step out of the shadow sometimes cast over people with physical and mental disabilities and find a fulfilling job smack dab in the middle of society,3.43,3.29,3.29
29,every time we help someone find a solution to their employment barrier the positive effects radiate throughout our community,3.6,3.2,3.2
30,the business community welcomes not only another worker but a consumer with increased purchasing power,3.4,3.2,3.0
31,parents act as role models of selfsufficiency instead of dependency,3.0,2.9,3.2
32,tax dollars that would have been spent on public assistance are saved,3.12,3.0,3.0
33,you and i know that solutions to difficult problems dont just happen,2.7,2.8,3.4
34,at goodwill it is the hard work of staff and those who benefit from our services that produces the kind of inspiring results i see every day,3.8,3.4,3.3
35,november 15 1996,3.1,3.1,3.1
36,you can get off welfare,3.0,3.1,3.2
37,i know you can,3.12,3.0,3.37
38,i did,3.1,3.1,3.2
39,a participant in a goodwill program rushes back from a job interview to share the results with his classmates in our desktop publishing training program,3.0,2.86,3.14
40,his job objectives call for him to do it in 30,2.82,2.73,3.27
41,once his tears have subsided he confirms what his classmates have already figured out he just received a job offer his first in five years,3.46,3.55,3.18
42,addressing a meeting at a neighborhood center a goodwill staff member tells the audience how goodwill can help them find and keep jobs,3.27,3.09,3.18
43,at the next corner he tells five more,3.09,2.91,3.0
44,in order to develop job skills a man with some serious disabilities begins working in goodwills industrial division,3.11,2.89,3.0
45,it takes a long time for him to gain the selfconfidence to work elsewhere in the community,2.62,2.88,2.88
46,eventually he turns your support into a payoff for all of us,3.11,3.0,3.22
47,these people and their successes are real,3.25,3.12,3.5
48,neither do we,3.0,3.0,3.2
49,just like the respect weve earned from us news world report,3.0,2.8,3.1
50,real work,3.0,3.1,3.2
51,a real difference in peoples lives in all of our lives,3.1,3.2,3.1
52,the people who can benefit most directly from your generosity have no time to waste,3.12,3.25,3.38
53,neither do the rest of us who feel the positive results of their success,3.56,3.11,3.11
54,jack dustman board member and former chairman,3.0,2.75,3.0
55,we dont waste time as we are helping the community,3.29,3.29,3.57
56,and we dont waste money,3.1,3.0,3.5
57,in their december 1995 review of the nations best charities us news world report called goodwill one of the five standout good guys,3.57,3.43,3.29
58,in the short while since goodwill helped him find his job robert has learned to thoroughly clean a motel room in about 40 minutes,3.4,3.1,3.4
59,the magazine stated that goodwill as well as the other standouts is uniquely effective innovative or valuable,3.4,3.1,3.3
60,while i appreciate us news world reports endorsement the true value of your support is measured by the way goodwill takes on problems that affect all of us,2.9,3.3,3.1
61,and there are a lot of people who face these challenges every day of their lives,2.9,3.1,3.1
62,so our work must continue,3.14,3.0,3.29
63,everyone benefits from the work we do together,3.5,2.9,3.1
64,many people need our help,2.9,3.1,3.1
65,please continue our important partnership,3.0,3.0,3.0
66,support goodwill with a generous donation today,3.14,3.0,3.29
67,weve helped people break free of the welfare cycle,3.7,3.1,3.4
68,weve found ways for people with disabilities to enter the workforce,3.38,3.25,3.38
69,december 10 1996,3.0,2.7,2.9
70,weve expanded goodwills proven methods to towns and neighborhoods where they are needed most,3.4,3.1,3.1
71,of course weve played different roles,3.1,3.1,3.1
72,you have helped make goodwills work possible with your previous support,3.6,2.9,3.1
73,goodwill has devised the programs that turned your investment into results,3.2,2.8,3.0
74,everyone has,2.9,3.1,3.1
75,when you and i help somebody find a job one more person joins the ranks of tax payers fewer tax dollars are spent on public assistance and businesses gain another consumer,3.6,3.0,3.5
76,you and i have done some important work together,3.6,3.1,3.1
77,there are a lot of barriers that keep people from working physical and mental disabilities history of welfare dependency and lack of education or selfesteem,2.67,2.89,3.11
78,now his goals are set on moving up in the company,3.1,3.1,3.1
79,every year thousands of people come to goodwill,3.12,3.25,3.12
80,like michael they share two common characteristics,2.86,3.29,3.14
81,they face some barrier to employment and they want to work,3.0,2.7,3.0
82,with support from people like you they can overcome their barriers and earn success and the selfsufficiency that comes with it,3.38,3.5,3.63
83,and then the payoff begins for the entire community,3.38,3.0,3.12
84,last year participants in goodwill programs earned and paid taxes on wages of nearly 35 million,3.4,3.1,3.0
85,michael sims felt that way at age 39 the day he earned a job,3.3,3.3,3.1
86,november 15 1994,3.0,2.2,2.8
87,the families of the new wage earners may feel the accomplishment in terms of a house to live in money to purchase food without food stamps and the beginning of a family focused on success not hopelessness,3.2,2.9,3.0
88,wont you help make all of these successes possible,3.0,3.3,3.1
89,sincerely,3.25,3.0,3.0
90,james m mcclelland president,3.0,3.0,3.0
91,ps,3.0,2.9,3.0
92,your gift will make a difference,3.64,3.37,3.45
93,for every dollar of public support goodwill received last year we returned 159 to the community in the form of earned wages and reduced public assistance payments,3.6,3.2,3.2
94,for several years he performed packaging and clerical work,3.0,2.8,3.1
95,dear,3.0,3.0,3.0
96,for 18 long months michael could not find a job,2.22,3.11,2.89
97,think of your greatest accomplishments,3.44,3.0,3.33
98,at goodwill michaels counselors felt that his personable demeanor could be a major attribute and identified for him a possible jobmatch where his people skills could shine,3.6,3.1,3.1
99,after three interviews michael proved that he was the right person for the job,3.6,3.0,3.2
100,think of the joy and success they bring to you and your loved ones,4.0,3.6,3.2
101,their complaint the system discourages working because unemployment provides benefits that many entrylevel jobs dont include,2.6,3.0,2.8
102,some of the strongest critics of our welfare system are the people who have become dependent on it,3.0,2.8,2.9
103,thats where you and goodwill come in,3.1,3.0,3.3
104,we help people train for and find jobs that make it possible for them to get off of welfare,3.25,2.87,2.87
105,last year goodwill placed 511 people in jobs more than double the number we placed in 1993,3.8,3.3,3.2
106,while the debate on welfare reform is gathering like a storm at sea the people who need jobs are floundering,2.7,3.1,2.9
107,we need your support to continue getting people off of public assistance,3.1,2.8,3.1
108,welfare is not the answer,2.9,3.0,3.0
109,and welfare reform is an uncertain solution with an unknown starting date,2.8,3.0,2.8
110,goodwill works,3.87,3.25,3.5
111,right now,2.86,3.0,3.43
112,please give the largest gift you can to goodwill today,3.2,3.0,3.0
113,sincerely jack dustman chairman,3.0,2.8,3.0
114,some like jerry are exoffenders,2.9,2.9,3.0
115,more than 100 were homeless,2.2,3.0,2.7
116,but goodwill offers hope even to people with numerous obstacles to overcome like jerry,3.4,3.3,3.2
117,with a promising new job at a plastic injection molding manufacturer his legal troubles in check and a safe place to live jerry can get on with the business of building a life for himself and contributing to his community,3.5,3.1,3.4
118,march 17 2000,3.0,2.9,3.1
